,word,read,hinshi,score
177,頌徳,しょうとく,名詞,1
178,才走る,さいばしる,動詞,1
179,賀,が,名詞,1
180,殷賑,いんしん,名詞,1
181,幸運,こううん,名詞,1
182,良能,りょうのう,名詞,1
183,輝かしい,かがやかしい,形容詞,1
184,傑作,けっさく,名詞,1
185,俊足,しゅんそく,名詞,1
186,俊豪,しゅんごう,名詞,1
187,賛成,さんせい,名詞,1
188,高見,こうけん,名詞,1
189,雄心,ゆうしん,名詞,1
190,緑玉,りょくぎょく,名詞,1
191,翠玉,すいぎょく,名詞,1
192,高論,こうろん,名詞,1
193,偉大,いだい,名詞,1
194,卓抜,たくばつ,名詞,1
195,明主,めいしゅ,名詞,1
196,似合しい,にあわしい,形容詞,1
197,聖人,せいじん,名詞,1
198,耆婆扁鵲,ぎばへんじゃく,名詞,1
199,英気,えいき,名詞,1
200,思わしい,おもわしい,形容詞,1
201,ジェントルマン,ジェントルマン,名詞,1
202,ゼントルマン,ゼントルマン,名詞,1
203,俊才,しゅんさい,名詞,1
204,大賢,たいけん,名詞,1
205,吉日,きちにち,名詞,1
206,剛の者,こうのもの,名詞,1
207,雄偉,ゆうい,名詞,1
208,歓喜,かんき,名詞,1
209,出色,しゅっしょく,名詞,1
210,偉功,いこう,名詞,1
211,好人物,こうじんぶつ,名詞,1
212,吉祥,きっしょう,名詞,1
213,好望,こうぼう,名詞,1
214,名望,めいぼう,名詞,1
215,満足,まんぞく,名詞,1
216,最良,さいりょう,名詞,1
217,嘆賞,たんしょう,名詞,1
218,プライド,プライド,名詞,1
219,賢君,けんくん,名詞,1
220,上作,じょうさく,名詞,1
221,高邁,こうまい,名詞,1
222,愛らしい,あいらしい,形容詞,1
223,キュート,キュート,名詞,1
224,大和尚,だいおしょう,名詞,1
225,頓才,とんさい,名詞,1
226,欣喜雀躍,きんきじゃくやく,名詞,1
227,名品,めいひん,名詞,1
228,しおらしい,しおらしい,形容詞,1
229,善哉,よいかな,名詞,1
230,悦,えつ,名詞,1
231,腕利き,うできき,名詞,1
232,利手,ききて,名詞,1
233,傑人,けつじん,名詞,1
234,賞する,しょうする,動詞,1
235,賀春,がしゅん,名詞,1
236,腕っこき,うでっこき,名詞,1
237,賑賑しい,にぎにぎしい,形容詞,1
238,瑞瑞しい,みずみずしい,形容詞,1
239,持て囃す,もてはやす,動詞,1
240,芳醇,ほうじゅん,名詞,1
241,神助,しんじょ,名詞,1
242,育英,いくえい,名詞,1
243,頌春,しょうしゅん,名詞,1
244,英俊,えいしゅん,名詞,1
245,頌辞,しょうじ,名詞,1
246,嘉辰,かしん,名詞,1
247,僥倖,ぎょうこう,名詞,1
248,秀才,しゅうさい,名詞,1
249,鑽仰,さんぎょう,名詞,1
250,佳作,かさく,名詞,1
251,達筆,たっぴつ,名詞,1
252,精良,せいりょう,名詞,1
253,顔揃い,かおぞろい,名詞,1
254,瑞枝,みずえ,名詞,1
